REWARD PER EPISODE FOR Q-LEARNING
Reward for episode 882: 90.
Reward for episode 883: 91.
Reward for episode 884: 89.
Reward for episode 885: 89.
Reward for episode 886: 90.
Reward for episode 887: 87.
Reward for episode 888: 90.
Reward for episode 889: 89.
Reward for episode 890: 90.
Reward for episode 891: 90.
Reward for episode 892: 89.
Reward for episode 893: 91.
Reward for episode 894: 90.
Reward for episode 895: 91.
Reward for episode 896: 90.
Reward for episode 897: 87.
Reward for episode 898: 90.
Reward for episode 899: 88.
Reward for episode 900: 90.
Reward for episode 901: 91.
Reward for episode 902: 91.
Reward for episode 903: 91.
Reward for episode 904: 91.
Reward for episode 905: 88.
Reward for episode 906: 89.
Reward for episode 907: 91.
Reward for episode 908: 90.
Reward for episode 909: 91.
Reward for episode 910: 91.
Reward for episode 911: 90.
Reward for episode 912: 91.
Reward for episode 913: 88.
Reward for episode 914: 91.
Reward for episode 915: 88.
Reward for episode 916: 90.
Reward for episode 917: 91.
Reward for episode 918: 89.
Reward for episode 919: 88.
Reward for episode 920: 91.
Reward for episode 921: 89.
Reward for episode 922: 89.
Reward for episode 923: 90.
Reward for episode 924: 88.
Reward for episode 925: 91.
Reward for episode 926: 91.
Reward for episode 927: 91.
Reward for episode 928: 90.
Reward for episode 929: 90.
Reward for episode 930: 90.
Reward for episode 931: 90.
Reward for episode 932: 90.
Reward for episode 933: 89.
Reward for episode 934: 91.
Reward for episode 935: 90.
Reward for episode 936: 90.
Reward for episode 937: 91.
Reward for episode 938: 91.
Reward for episode 939: 91.
Reward for episode 940: 90.
Reward for episode 941: 88.
Reward for episode 942: 89.
Reward for episode 943: 91.
Reward for episode 944: 90.
Reward for episode 945: 90.
Reward for episode 946: 91.
Reward for episode 947: 90.
Reward for episode 948: 89.
Reward for episode 949: 90.
Reward for episode 950: 91.
Reward for episode 951: 87.
Reward for episode 952: 89.
Reward for episode 953: 90.
Reward for episode 954: 87.
Reward for episode 955: 91.
Reward for episode 956: 91.
Reward for episode 957: 89.
Reward for episode 958: 90.
Reward for episode 959: 90.
Reward for episode 960: 88.
Reward for episode 961: 91.
Reward for episode 962: 90.
Reward for episode 963: 88.
Reward for episode 964: 90.
Reward for episode 965: 91.
Reward for episode 966: 88.
Reward for episode 967: 90.
Reward for episode 968: 86.
Reward for episode 969: 91.
Reward for episode 970: 90.
Reward for episode 971: 91.
Reward for episode 972: 87.
Reward for episode 973: 89.
Reward for episode 974: 88.
Reward for episode 975: 90.
Reward for episode 976: 89.
Reward for episode 977: 87.
Reward for episode 978: 89.
Reward for episode 979: 89.
Reward for episode 980: 91.
Reward for episode 981: 88.
Reward for episode 982: 87.
Reward for episode 983: 87.
Reward for episode 984: 86.
Reward for episode 985: 86.
Reward for episode 986: 88.
Reward for episode 987: 91.
Reward for episode 988: 90.
Reward for episode 989: 90.
Reward for episode 990: 85.
Reward for episode 991: 88.
Reward for episode 992: 90.
Reward for episode 993: 87.
Reward for episode 994: 88.
Reward for episode 995: 91.
Reward for episode 996: 88.
Reward for episode 997: 89.
Reward for episode 998: 90.
Reward for episode 999: 89.
Reward for episode 1000: 89.
Reward for episode 1001: 91.
Reward for episode 1002: 90.
Reward for episode 1003: 91.
Reward for episode 1004: 91.
Reward for episode 1005: 90.
Reward for episode 1006: 88.
Reward for episode 1007: 90.
Reward for episode 1008: 90.
Reward for episode 1009: 88.
Reward for episode 1010: 91.
Reward for episode 1011: 91.
Reward for episode 1012: 89.
Reward for episode 1013: 88.
Reward for episode 1014: 91.
Reward for episode 1015: 90.
Reward for episode 1016: 90.
Reward for episode 1017: 90.
Reward for episode 1018: 90.
Reward for episode 1019: 91.
Reward for episode 1020: 90.
Reward for episode 1021: 90.
Reward for episode 1022: 91.
Reward for episode 1023: 89.
Reward for episode 1024: 89.
Reward for episode 1025: 91.
Reward for episode 1026: 89.
Reward for episode 1027: 91.
Reward for episode 1028: 89.
Reward for episode 1029: 91.
Reward for episode 1030: 89.
Reward for episode 1031: 88.
Reward for episode 1032: 89.
Reward for episode 1033: 91.
Reward for episode 1034: 91.
Reward for episode 1035: 91.
Reward for episode 1036: 89.
Reward for episode 1037: 89.
Reward for episode 1038: 87.
Reward for episode 1039: 91.
Reward for episode 1040: 90.
Reward for episode 1041: 90.
Reward for episode 1042: 91.
Reward for episode 1043: 91.
Reward for episode 1044: 90.
Reward for episode 1045: 89.
Reward for episode 1046: 91.
Reward for episode 1047: 90.
Reward for episode 1048: 88.
Reward for episode 1049: 91.
Reward for episode 1050: 91.
Reward for episode 1051: 90.
Reward for episode 1052: 90.
Reward for episode 1053: 90.
Reward for episode 1054: 90.
Reward for episode 1055: 88.
Reward for episode 1056: 89.
Reward for episode 1057: 89.
Reward for episode 1058: 90.
Reward for episode 1059: 91.
Reward for episode 1060: 89.
